sample	weighted_NSTI
L4S63	0.026208439701124533
L1S140	0.025858278782748816
L1S76	0.037634490985623194
L2S357	0.020677456578135862
L3S360	0.03021761085699073
L1S105	0.03314711346145625
L6S68	0.020432583322304278
L5S174	0.015430496870869038
L1S8	0.05329205303669223
L3S242	0.05665871379612452
L2S309	0.021429833680658934
L5S155	0.009001310549121866
L3S313	0.012943469190747825
L1S208	0.038217260478698376
L5S104	0.009365927125275933
L4S112	0.019957256696731845
L4S137	0.026732872228331955
L5S222	0.014900076947317391
L2S240	0.013640121612624016
L5S240	0.011875481892055395
L1S281	0.043990247417026715
L2S175	0.03282977247383976
L3S294	0.006476185377236195
L1S57	0.07071414912058584
L3S378	0.02138072496427248
L2S204	0.012827431298631986
L2S155	0.019018287448432352
L2S222	0.03667270122404482
L2S382	0.034558998041869265
L5S203	0.020282275092749158
L6S93	0.04928745905473179
L1S257	0.048322989170493665
L3S341	0.04405358013644015
L6S20	0.014822611907839197
